,City Name,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Country,Max Temp,Date
0,Mount Gambier,48.72,90,76,8.63,-37.83,140.78,AU,48.72,1533524821
1,Port Elizabeth,79.72,83,1,3.36,39.31,-74.98,US,80.6,1533524100
2,Port Hedland,68.0,16,0,20.8,-20.31,118.58,AU,68.0,1533521640
3,Kodiak,86.0,48,1,10.29,39.95,-94.76,US,86.0,1533520380
4,Port Blair,82.02,100,92,30.11,11.67,92.75,IN,82.02,1533524822
5,Bend,81.52,28,1,5.82,44.06,-121.32,US,82.4,1533524160
6,Chambery,68.95,82,0,8.05,45.57,5.93,FR,73.4,1533524400
7,Katangli,60.87,79,0,8.97,51.71,143.23,RU,60.87,1533524824
8,Qiongshan,86.0,79,40,4.47,20.01,110.35,CN,86.0,1533520800
9,Leningradskiy,36.57,98,80,7.52,69.38,178.42,RU,36.57,1533524824
10,Hermanus,49.62,82,48,9.75,-34.42,19.24,ZA,49.62,1533524686
11,Atuona,79.77,99,0,20.6,-9.8,-139.03,PF,79.77,1533524825
12,Port Alfred,51.42,100,0,4.94,-33.59,26.89,ZA,51.42,1533524825
13,Papara,80.6,78,75,13.87,-3.98,-38.73,BR,80.6,1533524400
14,Punta Arenas,32.0,100,90,6.93,-53.16,-70.91,CL,32.0,1533520800
15,Ushuaia,32.0,100,0,5.82,-54.81,-68.31,AR,32.0,1533520800
16,Georgetown,77.0,94,0,4.7,6.8,-58.16,GY,77.0,1533520800
17,Ukiah,86.0,13,1,8.05,39.15,-123.21,US,86.0,1533520560
18,Hilo,78.55,74,75,11.41,19.71,-155.08,US,80.6,1533520560
19,Albany,70.56,83,20,3.04,42.65,-73.75,US,75.2,1533524040
20,Husavik,59.16,88,0,10.76,50.56,-96.99,CA,59.16,1533524829
21,Nikolskoye,62.6,93,20,6.71,59.7,30.79,RU,62.6,1533522600
22,Pisco,62.6,82,90,9.17,-13.71,-76.2,PE,62.6,1533520800
23,Cabedelo,69.8,106,20,4.7,-6.97,-34.84,BR,69.8,1533520800
24,Tarko-Sale,52.59,89,48,6.17,64.92,77.78,RU,52.59,1533524831
25,Hobart,53.6,71,75,8.05,-42.88,147.33,AU,53.6,1533520800
26,Honiara,86.0,58,20,8.05,-9.43,159.96,SB,86.0,1533524400
27,Cape Town,51.8,87,20,13.87,-33.93,18.42,ZA,51.8,1533520800
28,Ribeira Grande,71.76,100,0,10.42,38.52,-28.7,PT,71.76,1533524833
29,Nanortalik,39.81,100,56,8.97,60.14,-45.24,GL,39.81,1533524833
30,Vostochnyy,60.78,88,0,8.95,55.82,37.87,RU,62.6,1533522600
31,Lata,61.68,100,92,0.92,30.78,78.62,IN,61.68,1533524834
32,Kushima,88.48,66,40,6.93,31.5,131.29,JP,91.4,1533520800
33,Acapulco,80.6,78,90,9.17,16.86,-99.88,MX,80.6,1533519780
34,Sur,87.51,78,0,5.84,22.57,59.53,OM,87.51,1533524835
35,Kapaa,83.39,78,75,16.11,22.08,-159.32,US,84.2,1533520560
36,Vestmannaeyjar,52.23,85,100,15.68,63.44,-20.27,IS,52.23,1533524836
37,Carnarvon,20.37,67,0,2.59,-30.97,22.13,ZA,20.37,1533524837
38,Tupik,67.8,57,12,4.94,54.43,119.94,RU,67.8,1533524837
39,Vaini,70.05,98,92,10.98,15.34,74.49,IN,70.05,1533524837
40,La Sarre,66.09,84,64,10.98,48.8,-79.2,CA,66.09,1533524838
41,Zyryanka,57.81,56,0,3.38,65.73,150.89,RU,57.81,1533524838
42,Castro,47.64,100,92,3.49,-42.48,-73.76,CL,47.64,1533524839
43,Tasiilaq,44.49,97,8,0.58,65.61,-37.64,GL,44.49,1533524839
44,Cidreira,50.25,93,0,8.41,-30.17,-50.22,BR,50.25,1533524840
45,Dikson,40.62,99,92,17.81,73.51,80.55,RU,40.62,1533524686
46,Luderitz,48.99,93,0,10.42,-26.65,15.16,NA,48.99,1533524841
47,Souillac,70.68,60,0,6.93,45.6,-0.6,FR,71.6,1533524400
48,Rikitea,75.99,95,0,17.81,-23.12,-134.97,PF,75.99,1533524836
49,Mataura,50.7,84,24,4.38,-46.19,168.86,NZ,50.7,1533524842
50,Strezhevoy,55.4,87,0,4.47,60.73,77.6,RU,55.4,1533522600
51,Bredasdorp,55.92,94,20,25.19,-34.53,20.04,ZA,55.92,1533524843
52,Clyde River,37.4,93,90,11.41,70.47,-68.59,CA,37.4,1533520800
53,Kahului,82.85,58,40,20.8,20.89,-156.47,US,86.0,1533520560
54,Upernavik,42.78,86,8,12.33,72.79,-56.15,GL,42.78,1533524844
55,Bafq,73.02,27,0,3.15,31.6,55.4,IR,73.02,1533524845
56,Trat,77.0,100,90,8.05,12.25,102.51,TH,77.0,1533520800
57,Sisimiut,38.1,98,0,1.7,66.94,-53.67,GL,38.1,1533524846
58,Yellowknife,59.0,87,90,4.7,62.45,-114.38,CA,59.0,1533522120
59,Deputatskiy,56.28,45,0,4.38,69.3,139.9,RU,56.28,1533524847
60,Yzeure,66.2,77,0,3.38,46.57,3.36,FR,66.2,1533524400
61,Arraial do Cabo,68.61,100,32,7.63,-22.97,-42.02,BR,68.61,1533524701
62,Makakilo City,81.5,65,75,8.05,21.35,-158.09,US,82.4,1533521400
63,Muzhi,53.94,65,32,10.54,65.4,64.7,RU,53.94,1533524848
64,Tiksi,53.31,73,0,10.98,71.64,128.87,RU,53.31,1533524849
65,Hami,80.94,64,0,8.63,42.84,93.51,CN,80.94,1533524849
66,Jamestown,46.56,94,80,18.81,-33.21,138.6,AU,46.56,1533524685
67,Pio IX,77.07,40,80,8.3,-6.83,-40.61,BR,77.07,1533524851
68,Lazarev,68.43,73,0,13.0,52.23,141.51,RU,68.43,1533524851
69,Namibe,64.56,99,0,12.66,-15.19,12.15,AO,64.56,1533524852
70,Lagoa,78.8,50,0,2.24,37.14,-8.45,PT,78.8,1533522600
71,Puerto Ayora,70.23,100,80,12.77,-0.74,-90.35,EC,70.23,1533524691
72,Ponta Delgada,69.8,73,75,8.05,37.73,-25.67,PT,69.8,1533522600
73,Avrille,64.4,77,0,2.24,47.5,-0.58,FR,64.4,1533524400
74,Tuktoyaktuk,44.6,100,90,8.05,69.44,-133.03,CA,44.6,1533520800
75,Salalah,77.0,94,75,5.82,17.01,54.1,OM,77.0,1533520200
76,Bluff,75.72,52,64,10.09,-23.58,149.07,AU,75.72,1533524854
77,Agadez,73.65,82,0,9.42,16.97,7.99,NE,73.65,1533524854
78,Mwandiga,62.6,88,0,7.63,-4.84,29.66,TZ,62.6,1533520800
79,Bubaque,77.0,94,40,5.82,11.28,-15.83,GW,77.0,1533520800
80,Lompoc,67.68,43,1,10.29,34.64,-120.46,US,73.4,1533522900
81,College,60.15,87,90,9.17,64.86,-147.8,US,60.8,1533520740
82,Mareeba,78.8,69,75,11.41,-16.99,145.42,AU,78.8,1533524400
83,Tselinnoye,73.74,96,0,7.63,45.9,34.18,UA,73.74,1533524856
84,Victoria,80.91,100,75,14.0,5.28,115.24,BN,82.4,1533520800
85,Saint-Pierre,65.53,72,0,4.7,48.95,4.24,FR,68.0,1533524400
86,Mar del Plata,45.39,85,32,5.17,-46.43,-67.52,AR,45.39,1533524855
87,Ridgecrest,98.6,9,1,17.22,35.62,-117.67,US,98.6,1533520560
88,Blackwater,60.31,82,0,2.24,51.33,-0.78,GB,62.6,1533523800
89,Cap Malheureux,68.0,64,20,9.17,-19.98,57.61,MU,68.0,1533520800
90,Launceston,48.2,87,75,6.93,-41.43,147.14,AU,48.2,1533520800
91,Broken Hill,57.27,52,20,22.28,-31.97,141.45,AU,57.27,1533524860
92,Gat,77.79,92,92,8.63,14.69,-16.54,SN,77.79,1533524860
93,Hambantota,82.65,90,20,19.71,6.12,81.12,LK,82.65,1533524754
94,Lebu,55.4,87,90,4.7,8.96,38.73,ET,55.4,1533520800
95,Frederikshavn,62.76,100,20,24.85,57.44,10.53,DK,62.76,1533524862
96,New Norfolk,55.4,66,75,10.29,-42.78,147.06,AU,55.4,1533522600
97,Shanhetun,76.62,72,92,5.61,44.7,127.2,CN,76.62,1533524863
98,Katsuura,92.84,53,20,10.29,33.93,134.5,JP,95.0,1533523200
99,Umea,53.6,81,40,9.17,63.83,20.26,SE,53.6,1533523800
100,Kuching,86.0,70,75,10.29,1.56,110.34,MY,86.0,1533522600
101,Nouadhibou,72.75,83,56,18.37,20.93,-17.03,MR,72.75,1533524864
102,Baraboo,71.62,94,40,2.71,43.47,-89.74,US,73.4,1533524160
103,Celestun,84.45,98,0,15.68,20.87,-90.4,MX,84.45,1533524865
104,Palm Valley,82.11,94,1,6.93,26.2,-97.75,US,84.2,1533524100
105,Nawalgarh,86.34,60,12,11.88,27.85,75.27,IN,86.34,1533524687
106,Yerofey Pavlovich,67.53,55,8,4.38,53.97,121.97,RU,67.53,1533524866
107,Narsaq,46.4,75,0,4.7,60.91,-46.05,GL,46.4,1533523800
108,Evensk,55.83,98,68,6.62,61.92,159.24,RU,55.83,1533524867
109,Coquimbo,50.0,87,0,3.36,-29.95,-71.34,CL,50.0,1533520800
110,Paamiut,41.79,97,0,1.25,61.99,-49.67,GL,41.79,1533524867
111,Qaanaaq,40.89,82,68,12.21,77.48,-69.36,GL,40.89,1533524692
112,Avarua,75.2,64,40,8.05,-21.21,-159.78,CK,75.2,1533520800
113,Denpasar,78.8,74,75,12.75,-8.65,115.22,ID,78.8,1533522600
114,Provideniya,50.0,76,90,8.95,64.42,-173.23,RU,50.0,1533522600
115,Emerald,75.72,52,24,10.98,-23.53,148.16,AU,75.72,1533524869
116,Yar-Sale,52.32,88,20,8.75,66.83,70.83,RU,52.32,1533524870
117,Chuy,43.14,89,8,2.71,-33.69,-53.46,UY,43.14,1533524737
118,Tomatlan,75.72,96,68,1.7,19.93,-105.25,MX,75.72,1533524870
119,Kazerun,73.47,37,0,1.92,29.62,51.65,IR,73.47,1533524870
120,Broome,60.39,93,0,5.82,52.47,1.45,GB,64.4,1533524160
121,Esperance,80.6,74,20,4.72,10.24,-61.45,TT,80.6,1533520800
122,Hithadhoo,79.95,100,12,9.42,-0.6,73.08,MV,79.95,1533524850
123,Glasgow,58.32,87,90,6.93,55.86,-4.24,GB,60.8,1533523800
124,Sao Filipe,77.43,99,92,2.26,14.9,-24.5,CV,77.43,1533524872
125,Carlagan,81.66,100,56,7.85,14.97,122.05,PH,81.66,1533524873
126,Masuda,89.4,79,20,8.05,34.68,131.85,JP,91.4,1533520800
127,Alice Springs,57.2,30,0,13.87,-23.7,133.88,AU,57.2,1533524400
128,Guerrero Negro,76.53,70,0,10.65,27.97,-114.04,MX,76.53,1533524631
129,Batesville,81.16,74,1,4.7,35.77,-91.64,US,82.4,1533520560
130,Husum,55.47,93,36,2.24,54.49,9.05,DE,60.8,1533522000
131,Bereda,71.6,94,0,4.7,43.27,-7.54,ES,71.6,1533522600
132,Constitucion,73.4,27,75,17.22,23.99,-104.67,MX,73.4,1533520080
133,Morro Bay,75.04,56,1,11.41,35.37,-120.85,US,91.4,1533520560
134,Nanakuli,81.5,65,75,8.05,21.39,-158.15,US,82.4,1533521400
135,Kaitangata,49.62,86,44,4.83,-46.28,169.85,NZ,49.62,1533524876
136,Zonguldak,65.64,92,0,1.7,41.25,31.83,TR,65.64,1533524876
137,Amapa,80.6,100,20,6.93,15.09,-87.97,HN,80.6,1533524400
138,Tecoanapa,80.6,78,90,9.17,16.99,-99.26,MX,80.6,1533519780
139,Churapcha,54.03,97,92,3.94,62.0,132.43,RU,54.03,1533524878
140,Kutum,63.66,89,8,3.71,14.2,24.66,SD,63.66,1533524878
141,Tarbagatay,66.2,77,75,6.71,51.48,107.36,RU,66.2,1533522600
142,Richards Bay,61.5,96,92,2.26,-28.77,32.06,ZA,61.5,1533524857
143,Alta Floresta,79.32,70,24,2.48,-9.87,-56.08,BR,79.32,1533524879
144,Alofi,73.4,73,92,6.93,-19.06,-169.92,NU,73.4,1533520800
145,Ahipara,56.37,93,0,8.08,-35.17,173.16,NZ,56.37,1533524879
146,Sundsvall,53.6,71,0,9.17,62.39,17.31,SE,53.6,1533523800
147,Kibala,73.4,88,20,9.17,9.11,18.35,TD,73.4,1533520800
148,Krasnyy Oktyabr,62.49,81,0,9.75,56.12,38.88,RU,62.49,1533524880
149,Bayir,71.6,83,0,4.7,37.27,28.22,TR,71.6,1533522000
150,Namli,74.46,98,92,11.88,23.46,75.06,IN,74.46,1533524881
151,Busselton,60.42,100,88,13.0,-33.64,115.35,AU,60.42,1533524881
152,Mahebourg,68.0,64,20,9.17,-20.41,57.7,MU,68.0,1533520800
153,Butaritari,85.26,100,12,4.83,3.07,172.79,KI,85.26,1533524844
154,Grande Prairie,75.2,57,20,5.82,55.17,-118.79,CA,75.2,1533520800
155,Kambove,48.27,58,0,4.27,-10.88,26.6,CD,48.27,1533524883
156,Barrow,49.89,52,12,11.65,-38.31,-60.23,AR,49.89,1533524883
157,Atambua,83.64,77,0,6.85,-9.11,124.89,ID,83.64,1533524883
158,Arandis,37.2,75,0,2.93,-22.42,14.98,NA,37.2,1533524884
159,Brae,54.39,87,92,12.75,60.4,-1.35,GB,55.4,1533523800
160,Esfarayen,73.4,83,40,2.59,37.08,57.51,IR,73.4,1533520800
161,Sao Joao da Barra,72.93,100,36,7.52,-21.64,-41.05,BR,72.93,1533524694
162,Trairi,79.77,98,76,20.83,-3.28,-39.27,BR,79.77,1533524632
163,Saint George,68.0,60,20,3.36,39.45,22.34,GR,68.0,1533520200
164,San Cristobal,51.8,87,20,9.17,-0.39,-78.55,EC,51.8,1533520800
165,Anadyr,51.8,87,90,8.95,64.73,177.51,RU,51.8,1533522600
166,Adrar,91.4,19,0,13.87,27.87,-0.29,DZ,91.4,1533520800
167,Gashua,70.86,97,80,9.64,12.87,11.04,NG,70.86,1533524886
168,Diffun,73.11,95,88,3.27,16.59,121.5,PH,73.11,1533524887
169,Flin Flon,62.13,61,0,5.17,54.77,-101.88,CA,62.13,1533524887
170,Port Hardy,62.6,77,75,8.05,50.7,-127.42,CA,62.6,1533520800
171,Bandarbeyla,77.52,88,0,27.09,9.49,50.81,SO,77.52,1533524888
172,Viedma,43.41,78,20,2.82,-40.81,-62.99,AR,43.41,1533524889
173,Prince Rupert,66.2,72,1,4.7,54.32,-130.32,CA,66.2,1533520800
174,Shihezi,86.88,28,12,3.6,44.3,86.03,CN,86.88,1533524890
175,Dunedin,48.72,79,32,3.94,-45.87,170.5,NZ,48.72,1533524891
176,Sisophon,75.36,99,92,10.76,13.59,102.97,KH,75.36,1533524891
177,Flinders,64.4,36,0,20.8,-34.58,150.85,AU,64.4,1533522720
178,Ngunguru,57.72,100,36,4.16,-35.62,174.5,NZ,57.72,1533524892
179,East London,58.26,100,0,10.42,-33.02,27.91,ZA,58.26,1533524687
180,Sitka,88.5,32,32,16.13,37.17,-99.65,US,88.5,1533524837
181,Khandyga,53.31,97,92,4.38,62.65,135.58,RU,53.31,1533524893
182,Hobyo,74.01,87,0,16.24,5.35,48.53,SO,74.01,1533524893
183,San Andres,79.41,100,88,24.74,13.32,122.68,PH,79.41,1533524893
184,Pucallpa,74.46,91,80,2.82,-8.38,-74.54,PE,74.46,1533524894
185,Torbay,53.6,100,90,16.11,47.66,-52.73,CA,53.6,1533520800
186,Kowary,52.32,83,0,2.71,50.79,15.83,PL,52.32,1533524895
187,Airai,81.57,47,0,2.04,-8.93,125.41,TL,81.57,1533524895
188,Alyangula,80.13,87,56,5.39,-13.85,136.42,AU,80.13,1533524895
189,Walvis Bay,54.21,100,0,10.09,-22.95,14.51,NA,54.21,1533524896
190,Lavrentiya,46.38,94,48,10.2,65.58,-170.99,RU,46.38,1533524896
191,Alassio,82.4,69,0,3.36,44.0,8.17,IT,82.4,1533520500
192,Ludwigsfelde,54.48,76,0,3.36,52.3,13.26,DE,57.2,1533523800
193,Bandundu,75.18,75,24,7.63,-3.32,17.38,CD,75.18,1533524897
194,Horta,77.95,69,0,4.7,41.43,2.16,ES,80.6,1533522600
195,Ciudad Bolivar,82.11,70,68,8.3,8.12,-63.55,VE,82.11,1533524898
196,Vao,61.59,89,56,11.43,59.1,26.19,EE,61.59,1533524899
197,Bermeo,62.04,94,0,2.24,43.42,-2.72,ES,68.0,1533522600
198,Khatanga,62.4,77,24,15.23,71.98,102.47,RU,62.4,1533524892
199,Manowa,70.14,99,92,5.28,8.17,-10.75,SL,70.14,1533524900
200,Petropavlovsk-Kamchatskiy,73.4,43,20,8.95,53.05,158.65,RU,73.4,1533522600
201,Hervey Bay,71.94,81,0,11.99,-25.3,152.85,AU,71.94,1533524874
202,Iqaluit,41.0,93,90,9.17,63.75,-68.52,CA,41.0,1533520800
203,Port-Cartier,60.8,100,90,4.7,50.03,-66.88,CA,60.8,1533520800
204,Nome,79.68,83,1,7.63,30.04,-94.42,US,80.6,1533524100
205,Coahuayana,68.97,83,20,2.04,18.62,-100.35,MX,68.97,1533524903
206,Codrington,70.14,59,36,10.65,-28.95,153.24,AU,70.14,1533524903
207,Saskylakh,62.31,66,0,15.46,71.97,114.09,RU,62.31,1533524903
208,Dingle,76.8,100,92,11.99,11.0,122.67,PH,76.8,1533524904
209,Polazna,62.6,88,75,6.29,58.29,56.41,RU,62.6,1533522600
210,Waingapu,81.66,67,12,8.3,-9.65,120.26,ID,81.66,1533524905
211,Saint-Philippe,77.86,78,1,3.36,45.36,-73.48,CA,80.6,1533521700
212,Ruidoso,86.65,40,36,14.99,33.33,-105.67,US,95.0,1533524100
213,Kavaratti,82.11,98,92,19.93,10.57,72.64,IN,82.11,1533524905
214,Tura,77.88,95,56,3.15,25.52,90.21,IN,77.88,1533524906
215,Ixtapa,80.6,100,75,5.82,20.71,-105.21,MX,80.6,1533520020
216,Buin,51.8,53,75,2.24,-33.73,-70.74,CL,51.8,1533520800
217,Padang,76.44,100,88,9.64,-0.92,100.36,ID,76.44,1533524899
218,Severobaykalsk,55.11,100,100,3.04,55.65,109.32,RU,55.11,1533524907
219,Bodden Town,84.2,79,0,10.29,19.28,-81.25,KY,84.2,1533524400
220,Severo-Kurilsk,57.54,87,44,3.27,50.68,156.12,RU,57.54,1533524908
221,Bhera,85.98,72,20,10.42,32.48,72.91,PK,85.98,1533524909
222,Thompson,55.4,76,40,2.59,55.74,-97.86,CA,55.4,1533520800
223,Caravelas,76.89,97,8,15.12,-17.73,-39.27,BR,76.89,1533524875
224,Montecchio Maggiore,78.4,78,20,2.24,45.5,11.41,IT,80.6,1533523800
225,Ketchikan,74.62,49,1,8.05,55.34,-131.65,US,75.2,1533520560
226,New Bern,75.49,100,1,2.93,35.11,-77.04,US,78.8,1533523800
227,Majene,82.11,96,12,15.46,-3.54,118.97,ID,82.11,1533524912
228,Ucluelet,68.16,74,24,1.48,48.94,-125.55,CA,68.16,1533524912
229,Saint-Augustin,68.58,73,0,1.12,44.83,-0.61,FR,71.6,1533522600
230,Buala,83.64,82,8,8.97,-8.15,159.59,SB,83.64,1533524907
231,Sawakin,80.58,87,20,8.75,19.1,37.33,SD,80.58,1533524913
232,Along,78.42,77,0,2.04,28.17,94.8,IN,78.42,1533524913
233,Haines Junction,60.87,53,12,3.6,60.75,-137.51,CA,60.87,1533524914
234,Mikumi,53.67,94,0,2.37,-7.4,36.98,TZ,53.67,1533524914
235,Havelock,77.0,100,1,3.36,34.88,-76.9,US,80.6,1533520680
236,Chifeng,75.36,90,64,3.6,42.27,118.96,CN,75.36,1533524915
237,Ushtobe,83.46,32,0,4.38,45.25,77.98,KZ,83.46,1533524915
238,Craig,79.43,22,40,4.7,40.52,-107.55,US,84.2,1533522900
239,Wahiawa,81.52,65,75,8.05,21.5,-158.02,US,82.4,1533521400
240,Chokurdakh,41.25,84,44,12.55,70.62,147.9,RU,41.25,1533524916
241,Atasu,78.51,43,80,7.85,48.68,71.64,KZ,78.51,1533524916
242,The Valley,82.4,78,40,10.29,18.22,-63.06,AI,82.4,1533520800
243,Sechura,67.62,87,0,11.99,-5.56,-80.82,PE,67.62,1533524917
244,Juegang,90.21,82,0,8.75,32.31,121.18,CN,90.21,1533524918
245,Port Lincoln,54.57,99,64,22.06,-34.72,135.86,AU,54.57,1533524725
246,Carutapera,77.61,90,8,8.41,-1.2,-46.02,BR,77.61,1533524919
247,Itarema,76.62,85,0,14.34,-2.92,-39.92,BR,76.62,1533524795
248,Tungor,78.51,50,0,13.78,53.39,142.95,RU,78.51,1533524920
249,Anori,80.04,71,12,3.94,-3.74,-61.66,BR,80.04,1533524920
250,Oranjestad,82.4,78,20,20.8,12.52,-70.03,AW,82.4,1533520800
251,Road Town,82.4,78,1,9.17,18.42,-64.62,VG,82.4,1533520380
252,Shenjiamen,85.62,89,12,12.77,29.96,122.3,CN,85.62,1533524921
253,Faanui,80.31,100,20,13.67,-16.48,-151.75,PF,80.31,1533524921
254,Forrest City,76.3,88,0,4.7,35.01,-90.79,US,77.0,1533522900
255,Bathsheba,81.12,99,92,13.44,13.22,-59.52,BB,81.12,1533524922
256,Morinville,71.6,73,75,2.24,53.8,-113.65,CA,71.6,1533520800
257,Udachnyy,61.77,54,0,5.28,66.42,112.4,RU,61.77,1533524923
258,Miyang,62.22,100,92,0.92,24.4,103.44,CN,62.22,1533524923
259,Huarmey,53.04,90,0,3.6,-10.07,-78.15,PE,53.04,1533524923
260,Bucerias,80.6,100,75,5.82,20.76,-105.33,MX,80.6,1533520020
261,Vila Franca do Campo,69.8,73,75,8.05,37.72,-25.43,PT,69.8,1533522600
262,Eyl,77.79,79,0,18.7,7.98,49.82,SO,77.79,1533524924
263,Chernyshevskiy,61.59,48,0,7.96,63.01,112.47,RU,61.59,1533524925
264,Pangnirtung,43.5,93,92,14.45,66.15,-65.72,CA,43.5,1533524925
265,Arman,64.4,82,90,11.18,59.7,150.17,RU,64.4,1533522600
266,Jhanjharpur,86.43,97,24,1.7,26.21,86.23,IN,86.43,1533524926
267,Praia da Vitoria,69.8,77,75,12.55,38.73,-27.07,PT,69.8,1533520800
268,Isangel,71.31,100,0,14.45,-19.55,169.27,VU,71.31,1533524926
269,Nauta,74.82,95,24,3.71,-4.51,-73.58,PE,74.82,1533524927
270,Kodinsk,57.09,76,32,7.4,58.6,99.18,RU,57.09,1533524927
271,La Huacana,66.2,88,90,2.26,18.96,-101.8,MX,66.2,1533519840
272,Razdolinsk,56.19,75,32,5.5,58.42,94.62,RU,56.19,1533524928
273,Dalbandin,81.57,19,0,1.7,28.9,64.41,PK,81.57,1533524928
274,Puerto Ayacucho,78.8,94,75,1.03,5.66,-67.63,CO,78.8,1533520800
275,Ilek,75.09,51,0,3.94,51.53,53.38,RU,75.09,1533524929
276,Half Moon Bay,73.29,93,20,8.05,37.46,-122.43,US,87.8,1533523200
277,Sillamae,63.12,100,24,13.78,59.4,27.75,EE,63.12,1533524930
278,Xai-Xai,68.61,100,0,4.38,-25.04,33.64,MZ,68.61,1533524930
279,Japoata,69.96,90,80,4.94,-10.35,-36.8,BR,69.96,1533524930
280,Shelburne,79.41,65,1,5.82,44.08,-80.2,CA,82.4,1533520800
281,Yulara,57.2,28,0,10.29,-25.24,130.99,AU,57.2,1533524400
282,Luganville,75.36,100,92,15.46,-15.51,167.18,VU,75.36,1533524932
283,Christchurch,48.2,100,92,10.29,-43.53,172.64,NZ,48.2,1533522600
284,Samarai,78.24,100,64,13.44,-10.62,150.67,PG,78.24,1533524893
285,Hvide Sande,55.36,93,88,4.7,56.01,8.13,DK,57.2,1533523800
286,Zanjan,61.23,95,92,3.6,36.67,48.48,IR,61.23,1533524933
